"","Cell.type","source","PTPRC","EPCAM","PECAM1","MME","PTPRC_group","EPCAM_group","PECAM1_group","MME_group"
"1","Adventitial Fibroblast","normal",0.0116587667617196,0.00322639655001745,0.0158486811668293,0.0746779581221317,"PTPRC-","EPCAM-","PECAM1-","MME+"
"2","Airway Smooth Muscle","normal",0.0220329589838808,0.0117698527754682,0.0207386220423881,0.0103633484111558,"PTPRC-","EPCAM-","PECAM1-","MME-"
"3","Alveolar Epithelial Type 1","normal",0.0241951202170093,2.05440568067582,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"4","Alveolar Epithelial Type 2","normal",0.0202816942438081,1.14024675898522,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"5","Alveolar Fibroblast","normal",0.032153072887973,0.01175268907136,0.0165067996038956,0.255524019780805,"PTPRC-","EPCAM-","PECAM1-","MME+"
"6","Artery","normal",-1.06960415401248e-07,-1.43655318284138e-08,2.17519953416753,NA,"PTPRC-","EPCAM-","PECAM1+","NA"
"7","B","normal",1.12601645034229,NA,NA,NA,"PTPRC+","NA","NA","NA"
"8","Basal","normal",0.0301960086153155,0.96586926431567,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"9","Basophil/Mast 1","normal",0.762696780976794,NA,NA,NA,"PTPRC+","NA","NA","NA"
"10","Basophil/Mast 2","normal",0.746297085429428,NA,NA,NA,"PTPRC+","NA","NA","NA"
"11","Bronchial Vessel 1","normal",2.41404982870435e-07,8.51627088176693e-07,1.80879838313021,NA,"PTPRC-","EPCAM-","PECAM1+","NA"
"12","Bronchial Vessel 2","normal",-1.04478445720172e-06,1.88840811520638e-07,1.85568506760674,NA,"PTPRC-","EPCAM-","PECAM1+","NA"
"13","Capillary","normal",-8.29852243218917e-08,-2.55256764063075e-07,2.22965334414118,NA,"PTPRC-","EPCAM-","PECAM1+","NA"
"14","Capillary Aerocyte","normal",2.10964721562405e-07,1.15989359347462e-07,2.4180366778545,NA,"PTPRC-","EPCAM-","PECAM1+","NA"
"15","Capillary Intermediate 1","normal",2.41463046377158e-07,-1.5003904674356e-07,2.5302795104782,NA,"PTPRC-","EPCAM-","PECAM1+","NA"
"16","Capillary Intermediate 2","normal",-3.48148286856107e-09,-1.60230996726828e-07,1.70245238556663,NA,"PTPRC-","EPCAM-","PECAM1+","NA"
"17","CD4+ Memory/Effector T","normal",2.02325128861874,NA,NA,NA,"PTPRC+","NA","NA","NA"
"18","CD4+ Naive T","normal",1.44983097274577,NA,NA,NA,"PTPRC+","NA","NA","NA"
"19","CD8+ Memory/Effector T","normal",2.06539139904671,NA,NA,NA,"PTPRC+","NA","NA","NA"
"20","CD8+ Naive T","normal",2.00486877496102,NA,NA,NA,"PTPRC+","NA","NA","NA"
"21","Ciliated","normal",0.028953479428358,1.40772748057258,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"22","Classical Monocyte","normal",1.58741036439731,NA,NA,NA,"PTPRC+","NA","NA","NA"
"23","Club","normal",0.0290430418426202,1.14563588252198,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"24","Differentiating Basal","normal",0.0077730112783458,1.08915411803037,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"25","EREG+ Dendritic","normal",1.35686838306166,NA,NA,NA,"PTPRC+","NA","NA","NA"
"26","Fibromyocyte","normal",0.0330347523259289,0.0258549722924117,0.0304283985783167,9.63928926229547e-07,"PTPRC-","EPCAM-","PECAM1-","MME-"
"27","Goblet","normal",0.00625619100780486,1.59795571744872,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"28","IGSF21+ Dendritic","normal",1.14302361090751,NA,NA,NA,"PTPRC+","NA","NA","NA"
"29","Intermediate Monocyte","normal",2.00010849863574,NA,NA,NA,"PTPRC+","NA","NA","NA"
"30","Ionocyte","normal",0.0923845232022514,2.70106601170521,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"31","Lipofibroblast","normal",0.0372413850277494,-2.44608171809286e-06,0.0615496744700671,1.06476177646642e-06,"PTPRC-","EPCAM-","PECAM1-","MME-"
"32","Lymphatic","normal",-3.03370742815946e-07,3.70482639544659e-07,1.04648835184542,NA,"PTPRC-","EPCAM-","PECAM1+","NA"
"33","Macrophage","normal",1.09010500815489,NA,NA,NA,"PTPRC+","NA","NA","NA"
"34","Mesothelial","normal",0.124009726963533,-3.04121070995567e-06,0.0390446654142021,0.0407531028802298,"PTPRC-","EPCAM-","PECAM1-","MME-"
"35","Mucous","normal",0.0266183446405042,0.901015208745744,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"36","Myeloid Dendritic Type 1","normal",1.22341027986696,NA,NA,NA,"PTPRC+","NA","NA","NA"
"37","Myeloid Dendritic Type 2","normal",1.35813567172625,NA,NA,NA,"PTPRC+","NA","NA","NA"
"38","Myofibroblast","normal",0.0333450686568379,0.00649353560341991,0.0288095756401929,0.020797474461968,"PTPRC-","EPCAM-","PECAM1-","MME-"
"39","Natural Killer","normal",1.75281763185393,NA,NA,NA,"PTPRC+","NA","NA","NA"
"40","Natural Killer T","normal",2.11330707352264,NA,NA,NA,"PTPRC+","NA","NA","NA"
"41","Neuroendocrine","normal",0.0996047559282102,1.99503762932775,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"42","Nonclassical Monocyte","normal",2.01981685810643,NA,NA,NA,"PTPRC+","NA","NA","NA"
"43","OLR1+ Classical Monocyte","normal",1.47861177795022,NA,NA,NA,"PTPRC+","NA","NA","NA"
"44","Pericyte","normal",0.0286322084117911,0.00750680037659376,0.00778036260425027,0.0100678336811961,"PTPRC-","EPCAM-","PECAM1-","MME-"
"45","Plasma","normal",0.347187978464989,0.0181150896506114,0.52837324322607,0.00974787866646058,"PTPRC-","EPCAM-","PECAM1-","MME-"
"46","Plasmacytoid Dendritic","normal",0.86401237641904,NA,NA,NA,"PTPRC+","NA","NA","NA"
"47","Platelet/Megakaryocyte","normal",0.411221654228418,0.233910192984402,0.671616842591425,0.0541918951090227,"PTPRC-","EPCAM-","PECAM1-","MME+"
"48","Proliferating Basal","normal",0.00748862554387226,1.16252432317247,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"49","Proliferating Macrophage","normal",1.12758737518919,NA,NA,NA,"PTPRC+","NA","NA","NA"
"50","Proliferating NK/T","normal",1.70358041766726,NA,NA,NA,"PTPRC+","NA","NA","NA"
"51","Proximal Basal","normal",0.00840625858582663,1.24905955286626,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"52","Proximal Ciliated","normal",0.00679752115248671,1.27176487405907,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"53","Serous","normal",-1.5113528304335e-06,0.864102381888302,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"54","Signaling Alveolar Epithelial Type 2","normal",0.00590334772889409,0.703500744001184,NA,NA,"PTPRC-","EPCAM+","NA","NA"
"55","TREM2+ Dendritic","normal",1.13437578573835,NA,NA,NA,"PTPRC+","NA","NA","NA"
"56","Vascular Smooth Muscle","normal",0.0277165586344561,6.37637420276594e-07,0.0231703592003921,0.0195962129405739,"PTPRC-","EPCAM-","PECAM1-","MME-"
"57","Vein","normal",7.08857730967604e-07,4.7019315188975e-07,2.22010619293842,NA,"PTPRC-","EPCAM-","PECAM1+","NA"
